type,key
REMOVED,145|BUGTYPE
REMOVED,146|BUGTYPE
REMOVED,211|BUGTYPE
REMOVED,217|BUGTYPE
REMOVED,225|BUGTYPE
REMOVED,226|BUGTYPE
REMOVED,250|BUGTYPE
REMOVED,270|BUGTYPE
REMOVED,288|BUGTYPE
REMOVED,298|BUGTYPE
REMOVED,302|BUGTYPE
REMOVED,304|BUGTYPE
REMOVED,309|BUGTYPE
REMOVED,312|BUGTYPE
REMOVED,313|BUGTYPE
REMOVED,320|BUGTYPE
REMOVED,326|BUGTYPE
REMOVED,386|BUGTYPE
REMOVED,400|BUGTYPE
REMOVED,401|BUGTYPE
REMOVED,408|BUGTYPE
REMOVED,777|BUGTYPE
REMOVED,888|BUGTYPE
REMOVED,999|BUGTYPE
REMOVED,AAD|FLAME
REMOVED,AAd|FLAME
REMOVED,AccessoryD|NET_PWR
REMOVED,Apple|FLAME
REMOVED,Binance|APPS
REMOVED,CloudD|LOG_SYS
REMOVED,CloudKitDaemon|LOG_SYS
REMOVED,Facebook|APPS
REMOVED,Gmail|APPS
REMOVED,Lightning|UI_HOOK
REMOVED,META|FLAME
REMOVED,Microsoft|FLAME
REMOVED,OKX|APPS
REMOVED,OKx|APPS
REMOVED,SensorKit|NET_PWR
REMOVED,VIETTEL|VENDORS
REMOVED,Viettel|VENDORS
REMOVED,Vng|VENDORS
REMOVED,VnpT|VENDORS
REMOVED,WhatsApp|APPS
REMOVED,WhatsApp|FLAME
REMOVED,aAd|FLAME
REMOVED,aaD|FLAME
REMOVED,aad|FLAME
REMOVED,accessoryd|NET_PWR
REMOVED,apple|FLAME
REMOVED,azure|FLAME
REMOVED,backboardd|NET_PWR
REMOVED,binance|APPS
REMOVED,cloudd|LOG_SYS
REMOVED,duetexpertd|UI_HOOK
REMOVED,facebook|APPS
REMOVED,instagram|APPS
REMOVED,installcoordinationd|MDM
REMOVED,logd|LOG_SYS
REMOVED,meTa|FLAME
REMOVED,microsoft|FLAME
REMOVED,nsurlsessiond|LOG_SYS
REMOVED,oKx|APPS
REMOVED,okX|APPS
REMOVED,okx|APPS
REMOVED,rtCr|LOG_SYS
REMOVED,rtcr|LOG_SYS
REMOVED,sensorkit|NET_PWR
REMOVED,sharingd|UI_HOOK
REMOVED,suggestd|SHORTCUTS_CAL
REMOVED,thermalmonitord|NET_PWR
REMOVED,triald|LOG_SYS
REMOVED,vNG|VENDORS
REMOVED,vNg|VENDORS
REMOVED,viettel|VENDORS
REMOVED,vng|VENDORS
REMOVED,whatsapp|APPS
REMOVED,whatsapp|FLAME
REMOVED,youtube|APPS
